n,Multiplicand,Multiplier,ExpectedProduct,ResultPart1,OperationsPart1,ResultPart2,OperationsPart2
40,1925073532499915359365593802124139352973,9704533000945265089624542836708983873657,18681939625391705907402631886833246854872351372046707983039925524686071159332261,18681939625391705907402631886833246854872351372046707983039925524686071159332261,20007,18681939625391705907402631886833246854872351372046707983039925524686071159332261,11814
41,91135014530404746259727980159798990897768,80957050190196186220616781117003818818561,7378021945422235758029588403843148595022965405022941314995803459979325466491871848,7378021945422235758029588403843148595022965405022941314995803459979325466491871848,20999,7378021945422235758029588403843148595022965405022941314995803459979325466491871848,12465
42,141734778592629367242957304404997141887759,977516534614429037418670791094657736721941,138548089604210420593366449403967637305508780381894400601357989584383074665214620219,138548089604210420593366449403967637305508780381894400601357989584383074665214620219,22015,138548089604210420593366449403967637305508780381894400601357989584383074665214620219,12775
43,5726144614051729969791016057902915411624907,9259531241070842373828694064897802006326762,53021414944701534922721715181511107828453688620335658493644289624369677669896819861134,53021414944701534922721715181511107828453688620335658493644289624369677669896819861134,23055,53021414944701534922721715181511107828453688620335658493644289624369677669896819861134,12589
44,67462282460923702998694887390539715240746994,58294973482864543365108779360228099064634336,3932711967153065036230848304164867735128552714003754074685613145518250164799168101185984,3932711967153065036230848304164867735128552714003754074685613145518250164799168101185984,24119,3932711967153065036230848304164867735128552714003754074685613145518250164799168101185984,13581
45,543213907006660054586138431382910471885182205,102923175373107429560685070202280320486626204,55909300215957343508550624775966722052474235623536879982895870239845203091040540267499820,55909300215957343508550624775966722052474235623536879982895870239845203091040540267499820,25207,55909300215957343508550624775966722052474235623536879982895870239845203091040540267499820,13426
46,1668991809836293982678903943886562788283623416,1797527829716425889719440813598139268777336066,3000059225749523310387000496917289671176547277581841818681046803145548162540282206418921456,3000059225749523310387000496917289671176547277581841818681046803145548162540282206418921456,26319,3000059225749523310387000496917289671176547277581841818681046803145548162540282206418921456,13891
47,63458159038257618544556510831050596081719498885,31070248420719757063435640931270374664398997125,1971660765640206950337377809910297090735328670489073402046027007234330036554422594751555705625,1971660765640206950337377809910297090735328670489073402046027007234330036554422594751555705625,27455,1971660765640206950337377809910297090735328670489073402046027007234330036554422594751555705625,14201
48,635810788756738324689089408458371532583199155153,530206794899181953431003691800771201821530388271,337111200469031060077124347982867673347000287917733685650073572007123366320502078297163260410463,337111200469031060077124347982867673347000287917733685650073572007123366320502078297163260410463,28615,337111200469031060077124347982867673347000287917733685650073572007123366320502078297163260410463,16309
49,9070681667899956711791233761763124560937980141610,4787818631101024915076385249339891267180021395185,43428778686357932233992084023243411056968306978471260367629708902965037478587658057218456072147850,43428778686357932233992084023243411056968306978471260367629708902965037478587658057218456072147850,29799,43428778686357932233992084023243411056968306978471260367629708902965037478587658057218456072147850,15906
50,79421658212720588903971067214531823354923815386423,48723813886523310073101062753196582223609356283893,3869726093315663525242509437640000573452076133176569485760213263315085347314169521506324895085784739,3869726093315663525242509437640000573452076133176569485760213263315085347314169521506324895085784739,31007,3869726093315663525242509437640000573452076133176569485760213263315085347314169521506324895085784739,17022
51,393293474769483030879189925543814177444003418065279,463235389123119990383429140446124881760030884348394,182187455824425445969704739205117933576171639241492675668437846146443064812436218974400694910070811926,182187455824425445969704739205117933576171639241492675668437846146443064812436218974400694910070811926,32239,182187455824425445969704739205117933576171639241492675668437846146443064812436218974400694910070811926,17487
52,8906067456248506075642262919761446498819459613590744,5132873831150616405212500450404323418770041434251307,45713720584640094133348865975983171698144966474326882108157382358316557459156474690476316335999545102408,45713720584640094133348865975983171698144966474326882108157382358316557459156474690476316335999545102408,33495,45713720584640094133348865975983171698144966474326882108157382358316557459156474690476316335999545102408,17580
53,52503000305861234048193805223550018542407104335502952,42932027915137123778292717732139107239470990696159245,2254060274759687448047048308323983334283640133552206159574757168649134385223767059618178300202441759591240,2254060274759687448047048308323983334283640133552206159574757168649134385223767059618178300202441759591240,34775,2254060274759687448047048308323983334283640133552206159574757168649134385223767059618178300202441759591240,17177
54,808704038322611154309543684371037702454142139325685087,737372709126243802155855665577927164735606352769218285,596316287619277475423486491934486589369187872148104751464952020167782292229577781237961722307207163072215795,596316287619277475423486491934486589369187872148104751464952020167782292229577781237961722307207163072215795,36079,596316287619277475423486491934486589369187872148104751464952020167782292229577781237961722307207163072215795,18448
55,2798722192191548691107351341489607307516823055307436062,4269354171064120946183159455076627889206985720117123807,11948736264882708750395889405462634955003282839971825293753675731325039757143456172440332625430013106990528034,11948736264882708750395889405462634955003282839971825293753675731325039757143456172440332625430013106990528034,37407,11948736264882708750395889405462634955003282839971825293753675731325039757143456172440332625430013106990528034,19781
56,59179996561157322354986206135408192282058070328127001595,82384738120257042781108777956473279444156154956267688186,4875528518648658357238048062484598702499480088136878902863428407812570776820775491619325615869275896654584656670,4875528518648658357238048062484598702499480088136878902863428407812570776820775491619325615869275896654584656670,38759,4875528518648658357238048062484598702499480088136878902863428407812570776820775491619325615869275896654584656670,19657
57,810534651668083308430212791865391372392334959852512260034,292197931039434337398720542945790467407653953585095489649,236836548253182538386176661390988269624125607636914386438025494689863984589310142379668539531150432009368843388066,236836548253182538386176661390988269624125607636914386438025494689863984589310142379668539531150432009368843388066,40135,236836548253182538386176661390988269624125607636914386438025494689863984589310142379668539531150432009368843388066,21579
58,6615452544112170957780608227434721689127252642382163007446,3748298418202884193111507974454664413169983106885443481927,24796690306791896367074269029513611937964610001710904101190856631516583702750515772772598963660245952386680267428442,24796690306791896367074269029513611937964610001710904101190856631516583702750515772772598963660245952386680267428442,41535,24796690306791896367074269029513611937964610001710904101190856631516583702750515772772598963660245952386680267428442,22602
59,52984823993524621772835883225301002857030404589403214083736,71821438304826013801508386169135133070435047202738784339422,3805446267542993714051811514093339300200631521274412943796377529610846406733328551772779652049607991164728547753840592,3805446267542993714051811514093339300200631521274412943796377529610846406733328551772779652049607991164728547753840592,42959,3805446267542993714051811514093339300200631521274412943796377529610846406733328551772779652049607991164728547753840592,21393
60,654937449643692145686443438652371288954422489980409857813924,233449392917458236119757402233814169437950584866975148094452,152894750018228305364549875499292835981908463069420648669234798365405669460795848179078418967738445734131388250992749648,152894750018228305364549875499292835981908463069420648669234798365405669460795848179078418967738445734131388250992749648,44407,152894750018228305364549875499292835981908463069420648669234798365405669460795848179078418967738445734131388250992749648,22354
61,3946321128614789242089393572283262497853231162436652287559562,2259366276627572771372992968378830989168146595830017363381007,8916184874735117095836956322685130865602199431021774941887500750638301171120301777116793339213580041765996934801212038934,8916184874735117095836956322685130865602199431021774941887500750638301171120301777116793339213580041765996934801212038934,45879,8916184874735117095836956322685130865602199431021774941887500750638301171120301777116793339213580041765996934801212038934,23408
62,12327679190977337635817762510374160705009957989998125335737088,15434519156171646371992202167728265117024485361209627605602452,190271800624278301510124033156204810659950700900016501070253264887320435945931047785637152021376644980379505271879720139776,190271800624278301510124033156204810659950700900016501070253264887320435945931047785637152021376644980379505271879720139776,47375,190271800624278301510124033156204810659950700900016501070253264887320435945931047785637152021376644980379505271879720139776,23532
63,952037285133012494458779287082509376962186038559640825328448072,437720869098733329187909315047065400969612687883143306205948159,416726587862820820334555759746077889757436730230539694039708726021132850840074758273063672655726896541884669833040482755499448,416726587862820820334555759746077889757436730230539694039708726021132850840074758273063672655726896541884669833040482755499448,48895,416726587862820820334555759746077889757436730230539694039708726021132850840074758273063672655726896541884669833040482755499448,23966
64,6867769719910377763008462850784593597318938621607485365583596810,2613695842066744476926838324358289752639149523428204060370404313,17950261161201644669433877873941546229716379472542143592477295980260492606427734840370287976027376699694989625941594620477041530,17950261161201644669433877873941546229716379472542143592477295980260492606427734840370287976027376699694989625941594620477041530,50439,17950261161201644669433877873941546229716379472542143592477295980260492606427734840370287976027376699694989625941594620477041530,24803
65,51980811740467632479599322744738192781288532622669067668271077476,34437308550765910674969708168653061254270302218152744905357666204,1790079252625759039593578352957164655780289623651461755719540096591026608516245378228293768986076134650321488792448907303830821104,1790079252625759039593578352957164655780289623651461755719540096591026608516245378228293768986076134650321488792448907303830821104,52007,1790079252625759039593578352957164655780289623651461755719540096591026608516245378228293768986076134650321488792448907303830821104,25082
66,771005989311021022785290049448074189833242745047176942710892554844,768301462482289838075502922287828292021276548280014345951933893939,592365029170262178258728923073119730929953388918288564385624124066869591019798070571889578303255099086454654955936309622893036690516,592365029170262178258728923073119730929953388918288564385624124066869591019798070571889578303255099086454654955936309622893036690516,53599,592365029170262178258728923073119730929953388918288564385624124066869591019798070571889578303255099086454654955936309622893036690516,26043
67,6495069511490833050255332937063799432853160795842139473397505653059,2506920834288122273629171494458609357626296305799747240460347292141,16282625078505945968731114187791976595552238703469506870458572250117387545512609628681125804604795305373961654191922239849450463309319,16282625078505945968731114187791976595552238703469506870458572250117387545512609628681125804604795305373961654191922239849450463309319,55215,16282625078505945968731114187791976595552238703469506870458572250117387545512609628681125804604795305373961654191922239849450463309319,26508
68,82822743404175328325111717126410298767088205927744752144867941179700,13696672287058929298521876003489336789533070163378077021828045735265,1134395974322160945730149166837199413391643639157318306091940566346469454558305961904537733687332776601301257683766561824171457992120500,1134395974322160945730149166837199413391643639157318306091940566346469454558305961904537733687332776601301257683766561824171457992120500,56855,1134395974322160945730149166837199413391643639157318306091940566346469454558305961904537733687332776601301257683766561824171457992120500,26756
69,946108373945048423680934631592933765360398653088750687076318229805869,759039685277960417945494366542231705954269031691931859767706055913639,718133802398092441864020895904911194441681929533515738542016458588534550650177657448141615029033657617558696231355987399038416998399347291,718133802398092441864020895904911194441681929533515738542016458588534550650177657448141615029033657617558696231355987399038416998399347291,58519,718133802398092441864020895904911194441681929533515738542016458588534550650177657448141615029033657617558696231355987399038416998399347291,28306
70,5921347021658712376989688851327130133751263163911721589398785518577471,8195525093586756299254562146699914487236962078363550540110791897448466,48528548103839179432719160507930390821100818069107818754477947668827171031119608863031770110457998382675284444259938285294982499926851109486,48528548103839179432719160507930390821100818069107818754477947668827171031119608863031770110457998382675284444259938285294982499926851109486,60207,48528548103839179432719160507930390821100818069107818754477947668827171031119608863031770110457998382675284444259938285294982499926851109486,28461
71,30606681879445531988064570120915886477549658386440626994273241047857719,73297953637474818296449462709171088428027100211634795102001275259856067,2243407149396539239477926265164887691846157423440413694117168749914694506704548241844632844899822228454180910043169294742304298630990634931173,2243407149396539239477926265164887691846157423440413694117168749914694506704548241844632844899822228454180910043169294742304298630990634931173,61919,2243407149396539239477926265164887691846157423440413694117168749914694506704548241844632844899822228454180910043169294742304298630990634931173,28988
72,448041184558330550800898514608320451151237989285707895950062179473726136,939080418113250335485570414846717559154265497626915541656888647059336707,420746702926993013490861317647300261516503593768983994723638237379383089234556960923591423517931446492302502505708021186222035700791893930074152,420746702926993013490861317647300261516503593768983994723638237379383089234556960923591423517931446492302502505708021186222035700791893930074152,63655,420746702926993013490861317647300261516503593768983994723638237379383089234556960923591423517931446492302502505708021186222035700791893930074152,29825
73,4996790615267383803924186619428393978719463299696182477379755282120302943,5106107913864758070836124799675246516038656880763721996888211706650721454,25514152104541942064856005653992373147603651251387197881720799935835658180959371802600188746438533073244988574882375184677096269584354491989439122,25514152104541942064856005653992373147603651251387197881720799935835658180959371802600188746438533073244988574882375184677096269584354491989439122,65415,25514152104541942064856005653992373147603651251387197881720799935835658180959371802600188746438533073244988574882375184677096269584354491989439122,30538
74,54079008217580982814236743209280028000000789943653344457549076597603069899,17295192834326703251353845873679673251634271387639836807738475596512602340,935306875412201514598139530684304547827558319503827030207333222365703060959877465482788803370589178841729994777952475568004239036864256825410963660,935306875412201514598139530684304547827558319503827030207333222365703060959877465482788803370589178841729994777952475568004239036864256825410963660,67199,935306875412201514598139530684304547827558319503827030207333222365703060959877465482788803370589178841729994777952475568004239036864256825410963660,30228
75,135381890991388758588074727141079501814372724572354041624364894597775919909,647988165651841792455055597938493202374213761919950693564936976261865373134,87725863205987606968896325644860140287732230936485629394206765272134262652008327933546006608385032663346727313416114693340592045625827297490384324806,87725863205987606968896325644860140287732230936485629394206765272134262652008327933546006608385032663346727313416114693340592045625827297490384324806,69007,87725863205987606968896325644860140287732230936485629394206765272134262652008327933546006608385032663346727313416114693340592045625827297490384324806,31530
76,3003377037152356996332809929883527627293902945860513705561522391209293615563,7838513988420426764701364228610599616436374538857570159686881531297604810073,23542012918219446093832729784567444713188111498091813851225896035665470448984197539219199502401544360948834211593362960728517639656017498205118091966099,23542012918219446093832729784567444713188111498091813851225896035665470448984197539219199502401544360948834211593362960728517639656017498205118091966099,70839,23542012918219446093832729784567444713188111498091813851225896035665470448984197539219199502401544360948834211593362960728517639656017498205118091966099,32243
77,45593307378862996370822328305773429266769524218734368153221071756143904743381,39188508702474889599086908172024332456049557250505169412741025717632152392517,1786733722991185131605959652130021712051535013317815903492094447688259072821832928253700149597622396616862410493918258428205768180280910706851844069679977,1786733722991185131605959652130021712051535013317815903492094447688259072821832928253700149597622396616862410493918258428205768180280910706851844069679977,72695,1786733722991185131605959652130021712051535013317815903492094447688259072821832928253700149597622396616862410493918258428205768180280910706851844069679977,32646
78,266081704627516449468089029338764596391639958486197479205952429003138477300159,868223693505984943452686929862267412434340254454164006776148288909241832639678,231018440366070857445180599581310047117684185432642367857236739358478409856775788210106342638881038450047845292349436975529674615568070707748597933699108802,231018440366070857445180599581310047117684185432642367857236739358478409856775788210106342638881038450047845292349436975529674615568070707748597933699108802,74575,231018440366070857445180599581310047117684185432642367857236739358478409856775788210106342638881038450047845292349436975529674615568070707748597933699108802,33018
79,9309583510061268423899813583974730766932395811288317707521535952159649525063458,7195802462588370870938487667069475288838089260734567859512668474688677721740595,66989923947370964853430469794525730343250634941031816042585891093184103900108084536586651699020539837560615949781655693408083299140314147592202275833589677510,66989923947370964853430469794525730343250634941031816042585891093184103900108084536586651699020539837560615949781655693408083299140314147592202275833589677510,76479,66989923947370964853430469794525730343250634941031816042585891093184103900108084536586651699020539837560615949781655693408083299140314147592202275833589677510,34382
80,76026107704933510890746153047980937112696641916857325437429339144893561036598443,49291873720566866297775252879559277200327909083510763745978375036216547539913684,3747469300457798278031862379486649351962280600247637464523319228872140793408906556735759966252671700109292528679281518188897609216394487354353558185045188794012,3747469300457798278031862379486649351962280600247637464523319228872140793408906556735759966252671700109292528679281518188897609216394487354353558185045188794012,78407,3747469300457798278031862379486649351962280600247637464523319228872140793408906556735759966252671700109292528679281518188897609216394487354353558185045188794012,34351
81,389203184107422551529600219863588744064616873241887160995543952071093622113208327,975442837377637940205286966109437792696741021301791850722169548644502096227271249,379645458222155455189478059874290564627239455636934591770937032629223608890393726647471228734097964642592164702910216707019160354378150225214496329756267874490423,379645458222155455189478059874290564627239455636934591770937032629223608890393726647471228734097964642592164702910216707019160354378150225214496329756267874490423,80359,379645458222155455189478059874290564627239455636934591770937032629223608890393726647471228734097964642592164702910216707019160354378150225214496329756267874490423,35870
82,8148527612327652270672698483140803936145747109948088749394885393590756851056059969,5300683412454346297379971589500189862113568121676644939296337138012145808829124836,43192765150591406449818436279688128264250344323010611426848875184393985460984194208875547997650950037986268425203017524714289907828229194257171948867692100603290084,43192765150591406449818436279688128264250344323010611426848875184393985460984194208875547997650950037986268425203017524714289907828229194257171948867692100603290084,82335,43192765150591406449818436279688128264250344323010611426848875184393985460984194208875547997650950037986268425203017524714289907828229194257171948867692100603290084,35467
83,54211424613505431155578048836501827007962450290013034013228668753999767289297647540,99728295293170906574031642392481810893795333810575583845859369517874206556287977376,5406412962119143122996838745019240628594038342344813966635063004290706090492739016501990073516251631069723028636981014526046152046871399038214432783427841661542055040,5406412962119143122996838745019240628594038342344813966635063004290706090492739016501990073516251631069723028636981014526046152046871399038214432783427841661542055040,84335,5406412962119143122996838745019240628594038342344813966635063004290706090492739016501990073516251631069723028636981014526046152046871399038214432783427841661542055040,36149
84,286859697894836176841827639371979837462564380779617839243706827399468135923806073145,764796217526159340298642313434698353067773501705515720326574447639910299350302373452,219389211910667481285987621983442295461887824183665929770840057018073843626541900721339685100020734128002335484889774330175581085830479465035904235788232407065418146540,219389211910667481285987621983442295461887824183665929770840057018073843626541900721339685100020734128002335484889774330175581085830479465035904235788232407065418146540,86359,219389211910667481285987621983442295461887824183665929770840057018073843626541900721339685100020734128002335484889774330175581085830479465035904235788232407065418146540,36273
85,9502287522973432605208211625709968157911994212111839822282082893826667364400449486255,2073828833710867509942081160522412537053846943463310990962758316623840075907952762006,19706117851353321899872925604267330056691115994272218949990237363462575806976991505893160889790834641716249343414511130312656392485453090584125564244639258398110983227530,19706117851353321899872925604267330056691115994272218949990237363462575806976991505893160889790834641716249343414511130312656392485453090584125564244639258398110983227530,88407,19706117851353321899872925604267330056691115994272218949990237363462575806976991505893160889790834641716249343414511130312656392485453090584125564244639258398110983227530,37637
86,94664830732565157176480660722542852904366154443949193388756354926217924850393170585156,13329636120282811512219577973334495045882636533320821418850423908633860388218424216787,1261847747053258883286580961066580336022186784691770379613651015662987368783486520634292787329297931324491152973412752438664367287873023591700208776832721634604385788213772,1261847747053258883286580961066580336022186784691770379613651015662987368783486520634292787329297931324491152973412752438664367287873023591700208776832721634604385788213772,90479,1261847747053258883286580961066580336022186784691770379613651015662987368783486520634292787329297931324491152973412752438664367287873023591700208776832721634604385788213772,38040
87,516257288672765518524511590547474870397719473790605678999068528152260993904201479572704,850778262319860313761977619029582451850680377688547923992159591898057146132087434622826,439220478966977952920591408365235570585622797282297686805792206018503329026569329838463018745533900957174772329735334991999486278728884383034204656159574787924078517884941504,439220478966977952920591408365235570585622797282297686805792206018503329026569329838463018745533900957174772329735334991999486278728884383034204656159574787924078517884941504,92575,439220478966977952920591408365235570585622797282297686805792206018503329026569329838463018745533900957174772329735334991999486278728884383034204656159574787924078517884941504,38350
88,8318256580364825680569046546444041793647289607461311119141960759436257851492996885027455,6275775059111930095214982892811583327397569166695180351363489993144946693360019315959757,52203507182347265378060816179463954655252000540463270875383129575737233947025688464961070305805246812839941650341506767439053729932879084837003604353990809076397316676620128435,52203507182347265378060816179463954655252000540463270875383129575737233947025688464961070305805246812839941650341506767439053729932879084837003604353990809076397316676620128435,94695,52203507182347265378060816179463954655252000540463270875383129575737233947025688464961070305805246812839941650341506767439053729932879084837003604353990809076397316676620128435,40613
89,80442691875627534971258111277689682212973720128445269216819550304637367185062454345761022,20132634291833417141042276961723851197007852675167583770905824602756874191366794750756388,1619523296982648335986883050903122032603132346910339686897699588120506396006156445078916663313712337272674382059048984302634425964273117516742773510812787372098049341915987908536,1619523296982648335986883050903122032603132346910339686897699588120506396006156445078916663313712337272674382059048984302634425964273117516742773510812787372098049341915987908536,96839,1619523296982648335986883050903122032603132346910339686897699588120506396006156445078916663313712337272674382059048984302634425964273117516742773510812787372098049341915987908536,39900
90,335806134362257492382427880925567470929971699653705443918228736919531205106760317980812662,433932709674421603187254500227694407684183517352256027443226245796543813719665684186113946,145717265809107292521762084941876744976290613047848405224766534571955281681248635340411531768048007075267245458577109927125755693135122402233117229433962944433763329714604811584252,145717265809107292521762084941876744976290613047848405224766534571955281681248635340411531768048007075267245458577109927125755693135122402233117229433962944433763329714604811584252,99007,145717265809107292521762084941876744976290613047848405224766534571955281681248635340411531768048007075267245458577109927125755693135122402233117229433962944433763329714604811584252,42287
91,3957643065764244571579101442231545832290611860728290381763155463460732596358720656538870559,2346218179650445753257641489368810926541457890086346308246881872672178168071828070821341678,9285494109463595267076860174939349096034296367008721427284947115496456726774509129411288176381486831022062547388280992853200295222302535308170548223903411368644178207688747153858002,9285494109463595267076860174939349096034296367008721427284947115496456726774509129411288176381486831022062547388280992853200295222302535308170548223903411368644178207688747153858002,101199,9285494109463595267076860174939349096034296367008721427284947115496456726774509129411288176381486831022062547388280992853200295222302535308170548223903411368644178207688747153858002,40613
92,43052976861204768616274034147724812399641314207894233879269340110332343944994002405566822688,17170377881729866368493739331349043663600113735789564112105395679086627904380899842772425604,739235881640258085935127165147010211380918413243305549571752302566016669894684324863667331066554904272710752855715796359798687892732277021918178923582336553076843718798621273139303552,739235881640258085935127165147010211380918413243305549571752302566016669894684324863667331066554904272710752855715796359798687892732277021918178923582336553076843718798621273139303552,103415,739235881640258085935127165147010211380918413243305549571752302566016669894684324863667331066554904272710752855715796359798687892732277021918178923582336553076843718798621273139303552,43279
93,837696312542811076875102230691311150572570955483039316538526553964662482772733678278967091011,412317251471875679413804739933547087907072519159838685492577224652556487414168422623780638681,345396641155777199653069720326838623609051383230649073314893682657663025443497744489885572971365346348615241958362034361409542928430968525387300524205172730377887840128723561822233996491,345396641155777199653069720326838623609051383230649073314893682657663025443497744489885572971365346348615241958362034361409542928430968525387300524205172730377887840128723561822233996491,105655,345396641155777199653069720326838623609051383230649073314893682657663025443497744489885572971365346348615241958362034361409542928430968525387300524205172730377887840128723561822233996491,45511
94,7911833105472444142484441988013469888586451741575690863526611473217835743938677975641147756540,1857354923809944904402723236247443106520333991823950162439484454294043274732243401076055706192,14695082174811771277148171455860169551132549108445849214971005224267804682343439037895007140863472347888472153716082474019068158696440030555946398566936853093161537732634059137066186495680,14695082174811771277148171455860169551132549108445849214971005224267804682343439037895007140863472347888472153716082474019068158696440030555946398566936853093161537732634059137066186495680,107919,14695082174811771277148171455860169551132549108445849214971005224267804682343439037895007140863472347888472153716082474019068158696440030555946398566936853093161537732634059137066186495680,45139
95,35027908970495934086531344199304524719720671779462197185654630181285451687979252890119048534330,81540239073747861096903836676978654438159747870316904973643298721385069915299335565015728472814,2856184071707715779215138505094243641597624096297503080339236932095210710905140824024686574110289666152046830032212195612787568084543983142789862384024105441515088081914360830545755950704620,2856184071707715779215138505094243641597624096297503080339236932095210710905140824024686574110289666152046830032212195612787568084543983142789862384024105441515088081914360830545755950704620,110207,2856184071707715779215138505094243641597624096297503080339236932095210710905140824024686574110289666152046830032212195612787568084543983142789862384024105441515088081914360830545755950704620,45325
96,631199689174954759752107659484208726161421507858267644279001585018358648373659180368439257535618,112056728960343594477421499324966356534194932078424493015038130183611098627279064781917694423629,70730172489731028261154526172643854201427565356013110870468316825404159645042546557386157050114356543018026653269844781948798884790320284032496555130437114312040203866365253176103655448317722,70730172489731028261154526172643854201427565356013110870468316825404159645042546557386157050114356543018026653269844781948798884790320284032496555130437114312040203866365253176103655448317722,112519,70730172489731028261154526172643854201427565356013110870468316825404159645042546557386157050114356543018026653269844781948798884790320284032496555130437114312040203866365253176103655448317722,45511
